date,film,run,frame,sheetname,sheetnum,scale,camera,filmscan,image_name,raw_image,licence,status,download_url
19/08/1963 0:00,1189,R6M,5058,BURRAGORANG,8929,1:37500,RC5A,IRS,1189_6M_058,1189_6M_058,CC-by,a,https://portal.spatial.nsw.gov.au/download/historic/1189/1189_6M_058.jp2.jpeg
19/08/1963 0:00,1189,R6M,5059,BURRAGORANG,8929,1:37500,RC5A,IRS,1189_6M_059,1189_6M_059,CC-by,a,https://portal.spatial.nsw.gov.au/download/historic/1189/1189_6M_059.jp2.jpeg
19/08/1963 0:00,1189,R1M,5089,MOSS VALE,8928,1:38000,RC5A,IRS,1189_1M_089,1189_1M_089,CC-by,a,https://portal.spatial.nsw.gov.au/download/historic/1189/1189_1M_089.jp2.jpeg
19/08/1963 0:00,1189,R1M,5090,MOSS VALE,8928,1:38000,RC5A,IRS,1189_1M_090,1189_1M_090,CC-by,a,https://portal.spatial.nsw.gov.au/download/historic/1189/1189_1M_090.jp2.jpeg
19/08/1963 0:00,1189,R1M,5091,MOSS VALE,8928,1:38000,RC5A,IRS,1189_1M_091,1189_1M_091,CC-by,a,https://portal.spatial.nsw.gov.au/download/historic/1189/1189_1M_091.jp2.jpeg
19/08/1963 0:00,1189,R1M,5092,MOSS VALE,8928,1:38000,RC5A,IRS,1189_1M_092,1189_1M_092,CC-by,a,https://portal.spatial.nsw.gov.au/download/historic/1189/1189_1M_092.jp2.jpeg
8/06/1969 0:00,1621,R1M,5002,MOSS VALE,8928,1:40000,RC10,IRS,1621_1M_002,1621_1M_002,CC-by,a,https://portal.spatial.nsw.gov.au/download/historic/1621/1621_1M_002.jp2.jpeg
8/06/1969 0:00,1621,R1M,5003,MOSS VALE,8928,1:40000,RC10,IRS,1621_1M_003,1621_1M_003,CC-by,a,https://portal.spatial.nsw.gov.au/download/historic/1621/1621_1M_003.jp2.jpeg
8/06/1969 0:00,1621,R1M,5004,MOSS VALE,8928,1:40000,RC10,IRS,1621_1M_004,1621_1M_004,CC-by,a,https://portal.spatial.nsw.gov.au/download/historic/1621/1621_1M_004.jp2.jpeg
8/06/1969 0:00,1621,R1M,5022,MOSS VALE,8928,1:40000,RC10,IRS,1621_1M_022,1621_1M_022,CC-by,a,https://portal.spatial.nsw.gov.au/download/historic/1621/1621_1M_022.jp2.jpeg
